,tmp,cat,sub_cat,model,em_sum,em_mean,em_ci,ea_sum,ea_mean,ea_ci,rea_sum,rea_mean,rea_ci,et_sum,et_mean,et_ci,cc_sum,cc_mean,cc_ci,tokens_sum,tokens_mean,tokens_ci,count_sum,count_mean,count_ci
29,0.2,c3,s16,din,298,0.2,"(18.24%, 21.65%)",1060,0.71,"(69.01%, 72.89%)",1194,0.8,"(78.21%, 81.63%)",4887080.0,3271.14,"(166474.47%, 487753.11%)",1014,0.68,"(65.88%, 69.87%)",18385381,12306.15,"(1216698.15%, 1244530.90%)",1494,1.0,"(100.00%, 100.00%)"
30,0.2,c3,s17,dail,486,0.62,"(59.44%, 65.17%)",587,0.75,"(72.71%, 77.81%)",656,0.84,"(81.94%, 86.26%)",14988430.0,19215.94,"(784754.02%, 3058433.16%)",722,0.93,"(91.01%, 94.12%)",2752091,3528.32,"(341583.29%, 364081.07%)",780,1.0,"(100.00%, 100.00%)"
31,0.2,c3,s17,din,450,0.58,"(54.77%, 60.61%)",555,0.71,"(68.48%, 73.83%)",626,0.8,"(77.90%, 82.61%)",15352209.0,19682.32,"(353709.75%, 3582754.09%)",715,0.92,"(90.03%, 93.30%)",11385684,14597.03,"(1410993.74%, 1508412.41%)",780,1.0,"(100.00%, 100.00%)"
32,0.2,c3,s18,dail,13,0.29,"(17.61%, 40.16%)",22,0.49,"(36.45%, 61.32%)",22,0.49,"(36.45%, 61.32%)",259439.0,5765.31,"(258442.38%, 894619.84%)",26,0.58,"(45.49%, 70.06%)",310820,6907.11,"(590485.05%, 790937.18%)",45,1.0,"(100.00%, 100.00%)"
33,0.2,c3,s18,din,14,0.31,"(19.60%, 42.63%)",16,0.36,"(23.65%, 47.46%)",21,0.47,"(34.26%, 59.08%)",219645.0,4881.0,"(212188.58%, 764011.42%)",25,0.56,"(43.20%, 67.92%)",1715339,38118.64,"(3468123.32%, 4155605.57%)",45,1.0,"(100.00%, 100.00%)"
34,0.2,c3,s19,dail,1695,0.53,"(51.20%, 54.11%)",2167,0.67,"(65.95%, 68.68%)",2428,0.75,"(74.17%, 76.68%)",110541760.0,34340.4,"(2872829.29%, 3995251.48%)",2905,0.9,"(89.38%, 91.11%)",13518152,4199.49,"(412940.67%, 426956.94%)",3219,1.0,"(100.00%, 100.00%)"
35,0.2,c3,s19,din,1235,0.38,"(36.95%, 39.78%)",2055,0.64,"(62.44%, 65.24%)",2293,0.71,"(69.92%, 72.55%)",116448229.0,36175.28,"(2855605.71%, 4379450.46%)",2778,0.86,"(85.30%, 87.30%)",57469118,17853.1,"(1754084.37%, 1816534.95%)",3219,1.0,"(100.00%, 100.00%)"
36,0.2,c4,s20,dail,437,0.64,"(61.42%, 67.49%)",553,0.82,"(79.10%, 84.02%)",580,0.86,"(83.32%, 87.78%)",24750114.0,36504.59,"(1912218.07%, 5388700.52%)",617,0.91,"(89.19%, 92.82%)",2424565,3576.05,"(346550.83%, 368660.08%)",678,1.0,"(100.00%, 100.00%)"
37,0.2,c4,s20,din,495,0.73,"(70.19%, 75.82%)",535,0.79,"(76.32%, 81.50%)",566,0.83,"(81.13%, 85.84%)",27565644.0,40657.29,"(1208062.86%, 6923395.55%)",624,0.92,"(90.32%, 93.75%)",8986275,13254.09,"(1291992.06%, 1358826.52%)",678,1.0,"(100.00%, 100.00%)"
38,0.2,c4,s21,dail,281,0.17,"(15.47%, 18.52%)",850,0.51,"(49.39%, 53.45%)",1240,0.75,"(73.26%, 76.77%)",3023074.0,1828.84,"(106189.58%, 259578.60%)",1475,0.89,"(87.97%, 90.49%)",6980904,4223.17,"(418384.22%, 426250.26%)",1653,1.0,"(100.00%, 100.00%)"
39,0.2,c4,s21,din,181,0.11,"(9.68%, 12.22%)",767,0.46,"(44.38%, 48.42%)",1185,0.72,"(69.86%, 73.52%)",1801678.0,1089.94,"(65678.39%, 152310.48%)",1349,0.82,"(80.04%, 83.18%)",19946385,12066.78,"(1198918.78%, 1214436.93%)",1653,1.0,"(100.00%, 100.00%)"
40,0.2,c4,s22,dail,1252,0.45,"(42.99%, 46.09%)",1805,0.64,"(62.72%, 65.70%)",2197,0.78,"(76.87%, 79.44%)",21319567.0,7584.34,"(566458.37%, 950408.72%)",2528,0.9,"(89.00%, 90.87%)",17976261,6394.97,"(606874.22%, 672119.81%)",2811,1.0,"(100.00%, 100.00%)"
41,0.2,c4,s22,din,1097,0.39,"(37.51%, 40.54%)",1723,0.61,"(59.78%, 62.81%)",2140,0.76,"(74.80%, 77.46%)",21146398.0,7522.73,"(142180.00%, 1362366.28%)",2044,0.73,"(71.33%, 74.10%)",35604202,12666.03,"(1247780.96%, 1285424.45%)",2811,1.0,"(100.00%, 100.00%)"
42,0.2,c4,s24,dail,8,0.09,"(3.78%, 13.43%)",27,0.29,"(21.22%, 36.84%)",53,0.57,"(48.47%, 65.51%)",6200669.0,66673.86,"(3097736.38%, 10237035.67%)",86,0.92,"(87.93%, 97.01%)",585167,6292.12,"(569883.46%, 688540.20%)",93,1.0,"(100.00%, 100.00%)"
43,0.2,c4,s24,din,7,0.08,"(2.99%, 12.07%)",30,0.32,"(24.22%, 40.30%)",51,0.55,"(46.28%, 63.40%)",6541693.0,70340.78,"(3372969.06%, 10695187.93%)",86,0.92,"(87.93%, 97.01%)",1869180,20098.71,"(1840015.30%, 2179726.64%)",93,1.0,"(100.00%, 100.00%)"
